kernel,implementation,data_type,array_size,aligned,stride,time_seconds,gflops,cpe,speedup,run_id
axpy,scalar,f32,1024,0,1,0.000000099,2068.683,0.356,0.000,0
axpy,vectorized,f32,1024,0,1,0.000000098,2089.799,0.353,1.010,1
axpy,scalar,f32,1024,1,1,0.000000081,2528.394,0.292,0.000,2
axpy,vectorized,f32,1024,1,1,0.000000086,2381.401,0.310,0.942,3
axpy,scalar,f64,1024,0,1,0.000000195,1050.258,0.702,0.000,4
axpy,vectorized,f64,1024,0,1,0.000000203,1008.867,0.731,0.961,5
axpy,scalar,f64,1024,1,1,0.000000166,1233.734,0.598,0.000,6
axpy,vectorized,f64,1024,1,1,0.000000124,1651.612,0.446,1.339,7
axpy,scalar,f32,4096,0,1,0.000000209,3919.615,0.188,0.000,8
axpy,vectorized,f32,4096,0,1,0.000000485,1689.071,0.436,0.431,9
axpy,scalar,f32,4096,1,1,0.000000139,5893.517,0.125,0.000,10
axpy,vectorized,f32,4096,1,1,0.000000139,5893.530,0.125,1.000,11
axpy,scalar,f64,4096,0,1,0.000000481,1703.119,0.433,0.000,12
axpy,vectorized,f64,4096,0,1,0.000000481,1703.119,0.433,1.000,13
axpy,scalar,f64,4096,1,1,0.000000416,1969.231,0.374,0.000,14
axpy,vectorized,f64,4096,1,1,0.000000418,1959.809,0.376,0.995,15
axpy,scalar,f32,16384,0,1,0.000000999,3280.080,0.225,0.000,16
axpy,vectorized,f32,16384,0,1,0.000000996,3289.960,0.224,1.003,17
axpy,scalar,f32,16384,1,1,0.000000967,3388.625,0.218,0.000,18
axpy,vectorized,f32,16384,1,1,0.000000969,3381.630,0.218,0.998,19
axpy,scalar,f64,16384,0,1,0.000001997,1640.861,0.449,0.000,20
axpy,vectorized,f64,16384,0,1,0.000002819,1162.398,0.634,0.708,21
axpy,scalar,f64,16384,1,1,0.000001934,1694.312,0.435,0.000,22
axpy,vectorized,f64,16384,1,1,0.000001935,1693.437,0.435,0.999,23
axpy,scalar,f32,65536,0,1,0.000004014,3265.371,0.226,0.000,24
axpy,vectorized,f32,65536,0,1,0.000004147,3160.646,0.233,0.968,25
axpy,scalar,f32,65536,1,1,0.000003957,3312.409,0.223,0.000,26
axpy,vectorized,f32,65536,1,1,0.000004313,3038.998,0.243,0.917,27
axpy,scalar,f64,65536,0,1,0.000008840,1482.715,0.497,0.000,28
axpy,vectorized,f64,65536,0,1,0.000010240,1280.000,0.576,0.863,29
axpy,scalar,f64,65536,1,1,0.000009088,1442.254,0.511,0.000,30
axpy,vectorized,f64,65536,1,1,0.000010935,1198.647,0.615,0.831,31
axpy,scalar,f32,262144,0,1,0.000037719,1389.984,0.530,0.000,32
axpy,vectorized,f32,262144,0,1,0.000042125,1244.601,0.592,0.895,33
axpy,scalar,f32,262144,1,1,0.000042316,1238.983,0.595,0.000,34
axpy,vectorized,f32,262144,1,1,0.000042167,1243.361,0.593,1.004,35
axpy,scalar,f64,262144,0,1,0.000086049,609.290,1.210,0.000,36
axpy,vectorized,f64,262144,0,1,0.000086289,607.595,1.213,0.997,37
axpy,scalar,f64,262144,1,1,0.000087185,601.351,1.226,0.000,38
axpy,vectorized,f64,262144,1,1,0.000086814,603.921,1.221,1.004,39
axpy,scalar,f32,1048576,0,1,0.000164917,1271.641,0.580,0.000,40
axpy,vectorized,f32,1048576,0,1,0.000171049,1226.053,0.601,0.964,41
axpy,scalar,f32,1048576,1,1,0.000248946,842.412,0.875,0.000,42
axpy,vectorized,f32,1048576,1,1,0.000164091,1278.042,0.577,1.517,43
axpy,scalar,f64,1048576,0,1,0.000410732,510.589,1.444,0.000,44
axpy,vectorized,f64,1048576,0,1,0.000387694,540.930,1.363,1.059,45
axpy,scalar,f64,1048576,1,1,0.000382927,547.664,1.346,0.000,46
axpy,vectorized,f64,1048576,1,1,0.000366260,572.586,1.287,1.046,47
axpy,scalar,f32,4194304,0,1,0.001248340,671.981,1.097,0.000,48
axpy,vectorized,f32,4194304,0,1,0.001241392,675.742,1.091,1.006,49
axpy,scalar,f32,4194304,1,1,0.001287166,651.711,1.131,0.000,50
axpy,vectorized,f32,4194304,1,1,0.001290603,649.976,1.134,0.997,51
axpy,scalar,f64,4194304,0,1,0.003224927,260.118,2.834,0.000,52
axpy,vectorized,f64,4194304,0,1,0.003282532,255.553,2.885,0.982,53
axpy,scalar,f64,4194304,1,1,0.003377627,248.358,2.968,0.000,54
axpy,vectorized,f64,4194304,1,1,0.003184500,263.420,2.799,1.061,55
axpy,scalar,f32,16777216,0,1,0.007192812,466.499,1.580,0.000,56
axpy,vectorized,f32,16777216,0,1,0.007228379,464.204,1.588,0.995,57
axpy,scalar,f32,16777216,1,1,0.007328131,457.885,1.610,0.000,58
axpy,vectorized,f32,16777216,1,1,0.007201139,465.960,1.582,1.018,59
axpy,scalar,f64,16777216,0,1,0.014847479,225.994,3.262,0.000,60
axpy,vectorized,f64,16777216,0,1,0.016110718,208.274,3.540,0.922,61
axpy,scalar,f64,16777216,1,1,0.016636205,201.695,3.655,0.000,62
axpy,vectorized,f64,16777216,1,1,0.016531693,202.970,3.632,1.006,63
